关键词,拆成关键词的关键句,来源句数量
耍起,,0
松针大油边,,0
我了叹,,0
闹吃VS古振兴,,0
大葱哥,,0
舍命陪君子,,0
我是爷们,,0
老叟戏顽童,,0
胆子真是肥嘟嘟的,,0
胆子,胆子真是肥嘟嘟的,1
肥嘟嘟,胆子真是肥嘟嘟的,1
突然出现的章鱼哥的美妙音乐,,0
突然出现,突然出现在主页的某吧；突然出现的章鱼哥的美妙音乐,2
章鱼哥,突然出现的章鱼哥的美妙音乐,1
美妙音乐,突然出现的章鱼哥的美妙音乐,1
隔壁班转来了个XX,,0
隔壁,隔壁班转来了个XX,1
转来,隔壁班转来了个XX,1
牛来,,0
野生狗奶,,0
熊大回眸,,0
长月老贼,,0
胡迪渲染大赛,,0
渲染,胡迪渲染大赛,1
大赛,胡迪渲染大赛,1
直到XX变成XX,,0
不X你们X什么,,0
你那双眼睛究竟看到多远,,0
双眼,你那双眼睛究竟看到多远,1
究竟,你那双眼睛究竟看到多远；网上流传的v3表情包“你妈的为什么”究竟是真是假；香港究竟有几个区,3
多远,你那双眼睛究竟看到多远,1
正太扭腰,,0
霸之意志,,0
你会XXX吗,,0
许愿柳,,0
东北单兵口粮,,0
东北,东北单兵口粮,1
单兵,东北单兵口粮,1
口粮,东北单兵口粮,1
六人定律,,0
中国人能飞,,0
枪如人人如枪,,0
如人,枪如人人如枪,1
大阪和摄政王,,0
大阪,大阪和摄政王,1
摄政王,大阪和摄政王,1
成吉思鸡,,0
初音未来监护权杯,,0
初音未来,初音未来监护权杯,1
监护权,初音未来监护权杯,1
双子木马,,0
宗主第二招,,0
AVGN舞,,0
干瘪瘪的芝士球,,0
干瘪瘪,干瘪瘪的芝士球,1
芝士,两面包夹芝士；干瘪瘪的芝士球,2
旱厕蜗牛,,0
我简直就是佐助本人,,0
佐助,我简直就是佐助本人,1
本人,我简直就是佐助本人；蒂法本人在B站？她和耶路撒冷之间有,2
OMG你吓到我了,,0
大狗叫,,0
omg你吓到我了,,0
佛得角门神,,0
蛤蟆电音,,0
睾酮打到XX上了,,0
睾酮,睾酮打到XX上了,1
走个面儿,,0
被生活磨平了妙脆角,,0
生活,被生活磨平了妙脆角,1
磨平,被生活磨平了妙脆角,1
爹系男友,,0
我只是在做自己的事情,,0
只是在,我只是在做自己的事情,1
做自己,我只是在做自己的事情,1
事情,我只是在做自己的事情,1
哈兰德吃人,,0
超级变色龙,,0
你是龙子你是虾子,,0
龙子,你是龙子你是虾子,1
虾子,你是龙子你是虾子,1
眩晕板大学,,0
青蛙教练,,0
严肃脸,,0
看左边看左边,,0
左边,看左边看左边,1
香港究竟有几个区,,0
香港,香港究竟有几个区,1
鹅腿阿姨,,0
肉肉肉,,0
PixPix,,0
萨尔下,,0
中头奖,,0
为高考静音,,0
高考当天免费XX,,0
