锕,ac,5
银,ag,5
铝,al,5
镅,am,5
氩,ar,5
砷,as,5
砹,at,5
金,au,5
硼,b,5
铍,be,5
644,bf,3
B—F,bf,3
锫,bk,5
溴,br,5
193,brbr,3
Br—Br,brbr,3
碳,c,5
393,cb,3
C—B,cb,3
276,cbr,3
C—Br,cbr,3
332,cc,3
611,cc,3
837,cc,3
C—C,cc,3
C≡C,cc,3
328,ccl,3
C—Cl,ccl,3
镉,cd,5
485,cf,3
C—F,cf,3
锎,cf,5
414,ch,3
C—H,ch,3
氯,cl,5
243,clcl,3
Cl—Cl,clcl,3
锔,cm,5
305,cn,3
615,cn,3
891,cn,3
C—N,cn,3
C≡N,cn,3
C═N,cn,3
326,co,3
728,co,3
803,co,3
C—O,co,3
C═O,co,3
C═O(CO₂),co,3
钴,co,5
305,cp,3
C—P,cp,3
铬,cr,5
272,cs,3
536,cs,3
577,cs,3
C—S,cs,3
C═S,cs,3
C═S(CS₂),cs,3
铯,cs,5
337,csi,3
347,csi,3
Cs—I,csi,3
C—Si,csi,3
镝,dy,5
铕,eu,5
氟,f,5
铁,fe,5
153,ff,3
F—F,ff,3
镄,fm,5
钫,fr,5
钆,gd,5
氢,h,5
366,hbr,3
H—Br,hbr,3
431,hcl,3
H—Cl,hcl,3
565,hf,3
H—F,hf,3
铪,hf,5
汞,hg,5
436,hh,3
H—H,hh,3
298,hi,3
H—I,hi,3
钬,ho,5
碘,i,5
151,ii,3
I—I,ii,3
铟,in,5
铱,ir,5
钾,k,5
380,kbr,3
K—Br,kbr,3
433,kcl,3
K—Cl,kcl,3
498,kf,3
K—F,kf,3
325,ki,3
K—I,ki,3
氪,kr,5
469,licl,3
Li—Cl,licl,3
238,lih,3
Li—H,lih,3
345,lii,3
Li—I,lii,3
铹,lr,5
镆,mc,5
钔,md,5
镁,mg,5
锰,mn,5
氮,n,5
367,nabr,3
Na—Br,nabr,3
412,nacl,3
Na—Cl,nacl,3
519,naf,3
Na—F,naf,3
186,nah,3
Na—H,nah,3
铌,nb,5
钕,nd,5
389,nh,3
N—H,nh,3
456,nn,3
946,nn,3
N≡N,nn,3
N═N,nn,3
230,no,3
607,no,3
N—O,no,3
N═O,no,3
锘,no,5
镎,np,5
464,oh,3
O—H,oh,3
锇,os,5
磷,p,5
铅,pb,5
382,pbo,3
Pb—O,pbo,3
272,pbr,3
P—Br,pbr,3
346,pbs,3
Pb—S,pbs,3
331,pcl,3
P—Cl,pcl,3
钯,pd,5
322,ph,3
P—H,ph,3
㏗,ph,2
钷,pm,5
213,pp,3
P—P,pp,3
镨,pr,5
铂,pt,5
镭,ra,5
铷,rb,5
381,rbbr,3
Rb—Br,rbbr,3
428,rbcl,3
Rb—Cl,rbcl,3
494,rbf,3
Rb—F,rbf,3
319,rbi,3
Rb—I,rbi,3
铑,rh,5
氡,rn,5
硫,s,5
锑,sb,5
钪,sc,5
314,seh,3
Se—H,seh,3
339,sh,3
S—H,sh,3
552,sif,3
Si—F,sif,3
377,sih,3
Si—H,sih,3
²,sj,2
³,sj,3
¹,sj,1
⁰,sj,9
⁴,sj,4
⁵,sj,5
⁶,sj,6
⁷,sj,7
⁸,sj,8
⁹,sj,9
⁻,sjf,2
ⁿ,sjn,2
⁺,sjz,2
钐,sm,5
364,so,3
S—O,so,3
S═O,so,3
锶,sr,5
268,ss,3
S—S,ss,3
S═S,ss,3
铽,tb,5
锝,tc,5
钍,th,5
铥,tm,5
钨,w,5
氙,xe,5
₀,xj,9
₁,xj,1
₂,xj,2
₃,xj,3
₄,xj,4
₅,xj,5
₆,xj,6
₇,xj,7
₈,xj,8
₉,xj,9
₋,xjf,2
ₘ,xjm,2
ₙ,xjn,2
₊,xjz,2
钇,y,5
镱,yb,5
锌,zn,5
锆,zr,5
6d¹7s²,oa,2
Ac,oa,2
6.02214076×10²³ mol⁻¹,oafujioadeluooihuu,2
6.02214076×10²³ mol⁻¹,oafujioadeloihuu,2
6.02214076×10²³ mol⁻¹,oafujwdeluooihuu,2
6.02214076×10²³ mol⁻¹,oafujwdeloihuu,2
5f¹¹7s²,ol,2
6s²6p⁵,ol,2
At,ol,2
At₂,ol,2
Es,ol,2
NH₃,oj,2
NH₄⁺,ojgflizi,2
NH₄⁺,ohoflizi,2
—NH₂,ojji,2
NH₂CHRCOOH,ojjisuoj,2
NH₂CHRCOOH,ojjisr,2
㎀,ojpz,2
㎁,ojpz,2
㎂,ojpz,2
㎃,ojpz,2
㎄,ojpz,2
Og,oaoo,2
Og,ok,2
4d¹⁰,ba,2
Pd,ba,2
钡,ba,5
KAl(SO₄)₂·12H₂O,blfj,2
P₄,blln,2
As₂O₃,blpi,2
6s²,bz,2
Ba,bz,2
Ba²⁺,bzlizi,2
C₆H₆,bf,2
⌬,bf,2
⏣,bf,2
CₙH₂ₙ₋₆,bfdetsxiwu,2
C₆H₅OH,bfff,2
CₙH₂ₙ₋₇OH,bfffdetsxiwu,2
C₆H₅ONa,bfffna,2
—Ph,bfji,2
—COPh,bfjioaxiojji,2
—COPh,bfjioaxmji,2
—COPh,bfjwxiojji,2
—COPh,bfjwxmji,2
—OCOPh,bfjioaxiojyhji,2
—OCOPh,bfjioaxmyhji,2
—OCOPh,bfjwxiojyhji,2
—OCOPh,bfjwxmyhji,2
—OPh,bfyhji,2
6s²6p³,bi,2
Bi,bi,2
铋,bi,5
—Bz,biojji,2
—Bz,bmji,2
—CH₂Ph,biojji,2
—CH₂Ph,bmji,2
—NHCOOCH₂Ph,biojyhthjiojji,2
—NHCOOCH₂Ph,biojyhthjmji,2
—NHCOOCH₂Ph,bmyhthjiojji,2
—NHCOOCH₂Ph,bmyhthjmji,2
—Pr,b;ji,2
CH₃CH₂CH₃,b;wj,2
C₃H₈,b;wj,2
CH₃CH=CH₂,b;xi,2
—CH=CH—CH₃,b;xiji,1
CH₂=CHCOOH,b;xisuoj,2
CH₂=CHCOOH,b;xisr,2
515,bo,3
5d⁹6s¹,bo,2
Bh,bo,2
B—O,bo,3
Pt,bo,2
5f⁶7s²,bu,2
Pu,bu,2
钙,ca,5
K₂CO₃,caoojioj,2
K₂CO₃,caoojm,2
K₂CO₃,ckjioj,2
K₂CO₃,ckjm,2
K₂CO₃,caoomuhv,2
K₂CO₃,ckmuhv,2
COOH—COOH,caoosuoj,2
COOH—COOH,caoosr,2
COOH—COOH,cksuoj,2
COOH—COOH,cksr,2
H₂C₂O₄,caoosuoj,2
H₂C₂O₄,caoosr,2
H₂C₂O₄,cksuoj,2
H₂C₂O₄,cksr,2
C₂O₄²⁻,caoosuojgf,2
C₂O₄²⁻,caoosuohof,2
C₂O₄²⁻,caoosrgf,2
C₂O₄²⁻,cksuojgf,2
C₂O₄²⁻,cksuohof,2
C₂O₄²⁻,cksrgf,2
铈,ce,5
↓,ifdioj,2
↓,ifdm,2
HgS,ifua,2
Cr₂O₇²⁻,isgesuojgf,2
Cr₂O₇²⁻,isgesuohof,2
Cr₂O₇²⁻,isgesrgf,2
K₂Cr₂O₇,isgesuojjioa,2
K₂Cr₂O₇,isgesuojjw,2
