idx,source,date,keyword,pinyin,pinyin_plain,length,bvid,orig_title,url
1,梗指南,2026-09-02,耍起,shuǎ qǐ,shua qi,01:47,BV1VotU6iEiZ,耍起是什么梗【梗指南】,https://www.bilibili.com/video/BV1VotU6iEiZ
2,梗百科,2026-09-02,松针大油边,sōng zhēn dà yóu biān,song zhen da you bian,02:08,BV1xWtJ6iEGs,【梗百科】松针大油边是啥梗？,https://www.bilibili.com/video/BV1xWtJ6iEGs
3,梗指南,2026-08-31,我了叹,wǒ le tàn,wo le tan,01:34,BV1A1t86wExG,我了叹是什么梗【梗指南】,https://www.bilibili.com/video/BV1A1t86wExG
4,梗百科,2026-08-29,闹吃VS古振兴,nào chī VS gǔ zhèn xīng,nao chi VS gu zhen xing,03:52,BV1ii4C6QEk8,【梗百科】闹吃VS古振兴是啥梗？真人HIM？,https://www.bilibili.com/video/BV1ii4C6QEk8
5,梗百科,2026-08-28,大葱哥,dà cōng gē,da cong ge,02:30,BV13ptA6AEAW,【梗百科】大葱哥是咋回事？,https://www.bilibili.com/video/BV13ptA6AEAW
6,梗指南,2026-08-25,舍命陪君子,shě mìng péi jūn zǐ,she ming pei jun zi,01:40,BV1U1h36FEVL,舍命陪君子是什么梗【梗指南】,https://www.bilibili.com/video/BV1U1h36FEVL
7,梗百科,2026-08-24,我是爷们,wǒ shì yé men,wo shi ye men,02:13,BV11whN6NE6T,【梗百科】我是爷们是啥梗？！,https://www.bilibili.com/video/BV11whN6NE6T
8,梗指南,2026-08-23,老叟戏顽童,lǎo sǒu xì wán tóng,lao sou xi wan tong,02:37,BV1gE8s6AEjn,老叟戏顽童是什么梗【梗指南】,https://www.bilibili.com/video/BV1gE8s6AEjn
9,梗百科,2026-08-22,胆子真是肥嘟嘟的,dǎn zi zhēn shì féi dū dū de,dan zi zhen shi fei du du de,01:44,BV1a9816ZER9,【梗百科】胆子真是肥嘟嘟的是啥梗？,https://www.bilibili.com/video/BV1a9816ZER9
10,梗百科,2026-08-21,老叟戏顽童,lǎo sǒu xì wán tóng,lao sou xi wan tong,02:28,BV1vQ8i6uEYf,【梗百科】老叟戏顽童是啥梗？泥肘！！？,https://www.bilibili.com/video/BV1vQ8i6uEYf
11,梗百科,2026-08-20,突然出现的章鱼哥的美妙音乐,tū rán chū xiàn de zhāng yú gē de měi miào yīn yuè,tu ran chu xian de zhang yu ge de mei miao yin yue,03:35,BV16Sbo6TEBX,【梗百科】突然出现的章鱼哥的美妙音乐啥梗？,https://www.bilibili.com/video/BV16Sbo6TEBX
